benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;3.30005;0.25;378.782
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;3.27522;0.25;381.654
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;3.17094;0.25;394.204
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.5735;0.25;485.719
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.66568;0.25;468.924
bench1_base_variant;4096;1024;4096;0;0;0;0;38.5553;0.25;32.421
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;38.5792;0.25;32.4009
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;3.2292;0.25;387.093
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;3.20189;0.25;390.395
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;3.29242;0.25;379.66
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;3.2731;0.25;381.9
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;3.17946;0.25;393.149
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.57046;0.25;486.293
