benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity;throughput
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;1.26005;0.21;992.026
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.14757;0.21;1089.26
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.46984;0.21;506.106
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.15509;0.21;1082.17
bench1_base_variant;2048;1024;4096;0;0;0;0;26.3332;0.21;47.4686
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;17.1505;0.21;72.8843
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;1.75379;0.21;712.741
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.5057;0.21;830.181
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;1.26216;0.21;990.366
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;1.23488;0.21;1012.24
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.13918;0.21;1097.28
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.46962;0.21;506.152
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.1433;0.21;1093.33
bench1_base_variant;4096;1024;4096;0;0;0;0;7.8167;0.21;159.914
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;4.55846;0.21;274.215
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.75522;0.21;712.163
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.50698;0.21;829.476
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;1.24486;0.21;1004.13
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;1.22976;0.21;1016.46
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.13251;0.21;1103.74
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.46365;0.21;507.378
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.14946;0.21;1087.47
bench1_base_variant;512;1024;4096;0;0;0;0;46.0843;0.25;27.1242
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;46.2624;0.25;27.0198
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.0348;0.25;614.311
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.70504;0.25;733.121
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;1.51059;0.25;827.49
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;1.46331;0.25;854.227
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.32662;0.25;942.241
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.56472;0.25;487.383
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.29478;0.25;965.412
bench1_base_variant;1024;1024;4096;0;0;0;0;45.731;0.25;27.3337
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;42.1449;0.25;29.6596
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.97533;0.25;632.806
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.68152;0.25;743.375
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;1.47254;0.25;848.871
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;1.44408;0.25;865.603
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.33277;0.25;937.898
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.54725;0.25;490.726
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.33662;0.25;935.192
bench1_base_variant;2048;1024;4096;0;0;0;0;37.5289;0.25;33.3077
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;29.7624;0.25;41.9993
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;1.94467;0.25;642.782
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.67856;0.25;744.686
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;1.44936;0.25;862.45
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;1.43069;0.25;873.706
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.33491;0.25;936.391
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.54824;0.25;490.535
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.33744;0.25;934.621
bench1_base_variant;4096;1024;4096;0;0;0;0;10.3228;0.25;121.092
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;6.58992;0.25;189.684
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.93294;0.25;646.682
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.67907;0.25;744.459
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;1.43466;0.25;871.289
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;1.42131;0.25;879.469
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.33312;0.25;937.65
